Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0u1","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-118.200000,40.250000,90.000000,bottom
"C2","0u1","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-172.100000,41.062500,90.000000,bottom
"C3","0u01","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-115.700000,40.250000,90.000000,bottom
"C4","0u01","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-169.700000,41.000000,90.000000,bottom
"C5","0u01","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-35.573010,33.620510,180.000000,bottom
"C6","0u1","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-35.573010,31.120510,180.000000,bottom
"C7","0u01","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-44.285510,47.783010,90.000000,bottom
"C8","0u1","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-144.200000,40.000000,180.000000,bottom
"C9","0u1","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-46.785510,47.783010,90.000000,bottom
"C10","0u1","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-88.700000,40.212500,90.000000,bottom
"C11","0u01","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-144.200000,42.500000,180.000000,bottom
"C12","0u01","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-21.285510,40.620510,-90.000000,bottom
"C13","0u01","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-91.200000,40.212500,90.000000,bottom
"C14","0u1","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-18.785510,40.620510,-90.000000,bottom
"C15","0u1","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-73.700000,97.000000,90.000000,bottom
"C16","0u1","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-44.350000,105.700000,180.000000,bottom
"C17","0u1","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-39.700000,75.500000,-90.000000,bottom
"C22","0u1","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-48.200000,59.000000,180.000000,bottom
"C23","0u1","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-79.850510,54.240000,90.000000,bottom
"FID4","Fiducial","Fiducial_1.5mm_Mask3mm",-4.200000,111.000000,180.000000,bottom
"FID5","Fiducial","Fiducial_1.5mm_Mask3mm",-193.700000,3.000000,180.000000,bottom
"FID6","Fiducial","Fiducial_1.5mm_Mask3mm",-193.700000,112.000000,180.000000,bottom
"R1","4k7","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-57.200000,52.000000,90.000000,bottom
"R3","4k7","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-90.700000,60.500000,-90.000000,bottom
"R4","4k7","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-90.700000,65.500000,-90.000000,bottom
"R5","4k7","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-144.200000,57.500000,180.000000,bottom
"R6","4k7","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-144.200000,62.500000,180.000000,bottom
"R7","4k7","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-115.700000,65.500000,-90.000000,bottom
"R8","4k7","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-117.700000,45.250000,-90.000000,bottom
"R9","4k7","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-46.700000,52.000000,-90.000000,bottom
"R10","4k7","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-115.700000,60.500000,-90.000000,bottom
"R11","4k7","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-169.700000,65.000000,0.000000,bottom
"R12","4k7","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-171.200000,46.500000,180.000000,bottom
"R13","4k7","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-48.850510,62.240000,90.000000,bottom
"R14","4k7","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-170.700000,58.500000,90.000000,bottom
"R15","4k7","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-58.350000,101.700000,-90.000000,bottom
"C18","4u7","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",9.200000,91.000000,-90.000000,top
"C19","4u7","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",9.200000,87.000000,90.000000,top
"C20","0u1","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",17.737500,12.000000,0.000000,top
"C21","0u1","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",5.450000,22.000000,-90.000000,top
"D1","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",4.700000,93.500000,90.000000,top
"D2","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",6.700000,79.500000,0.000000,top
"D3","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",6.725000,76.500000,0.000000,top
"D4","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",6.725000,73.500000,0.000000,top
"D5","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",6.725000,70.500000,0.000000,top
"D6","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",6.725000,67.500000,0.000000,top
"D7","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",6.725000,64.500000,0.000000,top
"D8","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",4.700000,84.500000,-90.000000,top
"FID1","Fiducial","Fiducial_1.5mm_Mask3mm",4.200000,111.000000,0.000000,top
"FID2","Fiducial","Fiducial_1.5mm_Mask3mm",193.700000,112.000000,0.000000,top
"FID3","Fiducial","Fiducial_1.5mm_Mask3mm",193.700000,3.000000,0.000000,top
"R2","4k7","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",46.700000,43.200000,90.000000,top
"R16","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",8.200000,94.500000,180.000000,top
"R17","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",11.175000,79.500000,180.000000,top
"R18","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",11.200000,76.500000,180.000000,top
"R19","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",11.200000,73.500000,180.000000,top
"R20","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",11.200000,70.500000,180.000000,top
"R21","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",11.200000,67.500000,180.000000,top
"R22","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",11.200000,64.500000,180.000000,top
"R23","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",8.200000,83.500000,180.000000,top
"U7","AP2114HA-3.3TRG1","SOT-223_DIO-L",14.700000,89.000000,-90.000000,top
"U8","MAX6816EUS_T","SOT-143_Handsoldering",8.450000,22.000000,90.000000,top
"U10","STM1001LWX6F","SOT-23_STM-L",18.700000,15.500000,-90.000000,top
